[2021-09-07 10:32:45.650] [main] INFO  com.miniw.fesweb.FesWebApplication : Starting FesWebApplication using Java 1.8.0_221 on luoquandeMacBook-Pro.local with PID 16605 (/Users/blacker/IdeaProjects/mini-festival/fes-web/target/classes started by blacker in /Users/blacker/IdeaProjects/mini-festival)
[2021-09-07 10:32:45.653] [main] INFO  com.miniw.fesweb.FesWebApplication : The following profiles are active: dev
[2021-09-07 10:32:46.612] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
[2021-09-07 10:32:46.615] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2021-09-07 10:32:46.644] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
[2021-09-07 10:32:46.811] [main] INFO  o.s.c.a.ConfigurationClassPostProcessor : Cannot enhance @Configuration bean definition 'mybatisPlusConfig' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
[2021-09-07 10:32:46.879] [main] INFO  o.s.cloud.context.scope.GenericScope : BeanFactory id=49b9491e-e1c8-35ae-8003-390f7cacad72
[2021-09-07 10:32:47.454] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 5090 (http)
[2021-09-07 10:32:47.468] [main] INFO  o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-5090"]
[2021-09-07 10:32:47.468] [main] INFO  o.a.catalina.core.StandardService : Starting service [Tomcat]
[2021-09-07 10:32:47.469] [main] INFO  o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.44]
[2021-09-07 10:32:47.590] [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
[2021-09-07 10:32:47.591] [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1873 ms
[2021-09-07 10:32:48.793] [main] INFO  org.redisson.Version : Redisson 3.12.0
[2021-09-07 10:32:49.110] [redisson-netty-4-6] INFO  o.r.c.p.MasterPubSubConnectionPool : 1 connections initialized for 10.0.0.203/10.0.0.203:6379
[2021-09-07 10:32:49.110] [redisson-netty-4-5] INFO  o.r.c.pool.MasterConnectionPool : 2 connections initialized for 10.0.0.203/10.0.0.203:6379
[2021-09-07 10:32:50.048] [main] INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
[2021-09-07 10:32:50.386] [main] INFO  o.s.s.c.ThreadPoolTaskScheduler : Initializing ExecutorService 'taskScheduler'
[2021-09-07 10:32:50.506] [main] INFO  o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-5090"]
[2021-09-07 10:32:50.522] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 5090 (http) with context path ''
[2021-09-07 10:32:50.538] [main] INFO  com.miniw.fesweb.FesWebApplication : Started FesWebApplication in 6.565 seconds (JVM running for 7.523)
[2021-09-07 10:34:00.004] [task-5] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:34:00 CST 2021, threadName - task-5正在执行月无双预售发放礼包任务
[2021-09-07 10:34:00.004] [task-4] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:34:00 CST 2021, threadName - task-4正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:36:00.003] [task-9] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:36:00 CST 2021, threadName - task-9正在执行月无双预售发放礼包任务
[2021-09-07 10:36:00.005] [task-12] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:36:00 CST 2021, threadName - task-12正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:38:00.000] [task-15] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:38:00 CST 2021, threadName - task-15正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:38:00.001] [task-16] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:38:00 CST 2021, threadName - task-16正在执行月无双预售发放礼包任务
[2021-09-07 10:40:00.001] [task-21] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:40:00 CST 2021, threadName - task-21正在执行月无双预售发放礼包任务
[2021-09-07 10:40:00.001] [task-22] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:40:00 CST 2021, threadName - task-22正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:42:00.000] [task-27] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:42:00 CST 2021, threadName - task-27正在执行月无双预售发放礼包任务
[2021-09-07 10:42:00.001] [task-29] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:42:00 CST 2021, threadName - task-29正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:44:00.167] [task-33] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:44:00 CST 2021, threadName - task-33正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:44:00.168] [task-35] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:44:00 CST 2021, threadName - task-35正在执行月无双预售发放礼包任务
[2021-09-07 10:46:00.004] [task-41] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:46:00 CST 2021, threadName - task-41正在执行月无双预售发放礼包任务
[2021-09-07 10:46:00.005] [task-42] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:46:00 CST 2021, threadName - task-42正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:48:00.012] [task-47] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:48:00 CST 2021, threadName - task-47正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:48:00.013] [task-48] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:48:00 CST 2021, threadName - task-48正在执行月无双预售发放礼包任务
[2021-09-07 10:50:00.006] [task-53] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:50:00 CST 2021, threadName - task-53正在执行月无双预售发放礼包任务
[2021-09-07 10:50:00.006] [task-54] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:50:00 CST 2021, threadName - task-54正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:52:00.005] [task-59] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:52:00 CST 2021, threadName - task-59正在执行月无双预售发放礼包任务
[2021-09-07 10:52:00.006] [task-60] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:52:00 CST 2021, threadName - task-60正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:54:00.007] [task-66] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:54:00 CST 2021, threadName - task-66正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:54:00.007] [task-65] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:54:00 CST 2021, threadName - task-65正在执行月无双预售发放礼包任务
[2021-09-07 10:56:00.007] [task-71] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:56:00 CST 2021, threadName - task-71正在执行月无双预售发放礼包任务
[2021-09-07 10:56:00.008] [task-72] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:56:00 CST 2021, threadName - task-72正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:58:00.007] [task-77] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:58:00 CST 2021, threadName - task-77正在执行柳仙儿预售发放礼包任务
[2021-09-07 10:58:00.023] [task-78] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 10:58:00 CST 2021, threadName - task-78正在执行月无双预售发放礼包任务
[2021-09-07 11:00:00.007] [task-83] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:00:00 CST 2021, threadName - task-83正在执行月无双预售发放礼包任务
[2021-09-07 11:00:00.008] [task-84] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:00:00 CST 2021, threadName - task-84正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:01:59.975] [task-89] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:01:59 CST 2021, threadName - task-89正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:01:59.975] [task-90] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:01:59 CST 2021, threadName - task-90正在执行月无双预售发放礼包任务
[2021-09-07 11:04:00.002] [task-93] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:04:00 CST 2021, threadName - task-93正在执行柳仙儿预售发放礼包任务
